number,forum,title,abstract,num Reviewers,num submitted Reviewers,missing Reviewers,min rating,max rating,average rating,min confidence,max confidence,average confidence,num Area Chairs assigned,num submitted Area Chairs,Meta Review,decision,Senior Area Chairs
12,https://openreview.net/forum?id=rf2VNhRNuG,Part Segmentation and Motion Estimation for Articulated Objects with Dynamic 3D Gaussians,"Part segmentation and motion estimation are two fundamental problems for articulated object modeling. In this paper, we present a method to solve these two problems jointly from a sequence of observed point clouds of a single articulated object. The main challenge in our problem setting is that the point clouds are not assumed to be generated by a fixed set of moving points. Instead, each point cloud in the sequence could be an arbitrary sampling of the object surface at that particular time step. Such scenarios occur when the object undergoes major occlusions, or if the dataset is collected using measurements from multiple sensors asynchronously. In these scenarios, methods that rely on tracking point correspondences are not appropriate. We present an alternative approach by representing the object as a collection of simple building blocks modeled as 3D Gaussians. With our representation, part segmentation is achieved by assigning the observed points to the Gaussians. Moreover, the transformation of each point across time can be obtained by following the poses of the assigned Gaussian. Experiments show that our method outperforms existing methods that solely rely on finding point correspondences. Additionally, we extend existing datasets to emulate real-world scenarios by considering viewpoint occlusions. We demonstrate that our method is more robust to missing points as compared to existing approaches on these challenging datasets, even when some parts are completely occluded in some time-steps.  Notably, our part segmentation outperforms the state-of-the-art method by 13% on occluded point clouds. Project page: https://giles200619.github.io/gsart_website/",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Edmond S. L. Ho
18,https://openreview.net/forum?id=nMspfce4cf,Volumetric Temporal Texture for Smoke Stylization using Dynamic Radiance Fields,"The exemplar-based stylization of dynamic 3D volume sequences remains challenging in computer graphics. The difficulty lies not only in maintaining the styling features concerning a reference image across multiviews and time frames, but also in preserving visually plausible motion as the original smoke simulation, within a reasonable time and computational resources. In this work, we introduce Volumetric Neural Cellular Automata (VNCA), a novel method that synthesizes volumetric temporal textures for smoke stylizations in real-time. Our method formats radiance fields atop the self-emerging Neural Cellular Automata (NCA) and generates a dynamic sequence of stylized color and density volumes. The synthesized temporal textures align with the input sequence's overall motion patterns while matching the style of a reference image. We use flow-guided supervision to align the texture's temporal motion with that of the perceived smoke sequence, reducing the training time by over an order of magnitude. We demonstrate that VNCA can be easily adapted for mesh stylization, akin to solid texture modeling, extending its application beyond dynamic volume simulations.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Accept (Poster),Accept,Edmond S. L. Ho
22,https://openreview.net/forum?id=0HOyXrj1Ze,Learning from Synthetic Data for Visual Grounding,"We introduce SynGround, a novel approach to learn representations for visual grounding using a combination of real data along with synthetic images, synthetic referring expressions, and corresponding bounding boxes. We explore various strategies to best generate additional image-text pairs and image-text-box triplets using pretrained models under different settings and varying degrees of reliance on real data. Through comparative analyses with synthetic, real, and web-crawled data, we identify factors that contribute to performance differences. We find that SynGround can improve the localization capabilities of a vision-and-language model and offers the potential for arbitrarily large-scale data generation. Particularly, data generated with SynGround improves the pointing game accuracy of a pretrained ALBEF model by 4.81% and improves BLIP by 17.11% absolute percentage points on average across RefCOCO+ and Flickr30k benchmarks.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Charith Abhayaratne
24,https://openreview.net/forum?id=AlLiSA4wXD,MSMVD: Exploiting Multi-scale Image Features via Multi-scale BEV Features for Multi-view Pedestrian Detection,"Multi-View Pedestrian Detection (MVPD) aims to detect pedestrians in the form of a bird's eye view (BEV) from multi-view images.
In MVPD, end-to-end trainable deep learning methods have progressed greatly.
However, they often struggle to detect pedestrians with consistently small or large scales in views or with vastly different scales between views.
This is because they do not exploit multi-scale image features to generate the BEV feature and detect pedestrians.
To overcome this problem, we propose a novel MVPD method, called Multi-Scale Multi-View Detection (MSMVD).
MSMVD generates multi-scale BEV features by projecting multi-scale image features extracted from individual views into the BEV space, scale-by-scale.
Each of these BEV features inherits the properties of its corresponding scale image features from multiple views.
Therefore, these BEV features help the precise detection of pedestrians with consistently small or large scales in views.
Then, MSMVD combines information at different scales of multiple views by processing the multi-scale BEV features using a feature pyramid network.
This improves the detection of pedestrians with vastly different scales between views.
Extensive experiments demonstrate that exploiting multi-scale image features via multi-scale BEV features greatly improves the detection performance, and MSMVD outperforms the previous highest MODA by $4.5$ points on the GMVD dataset.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Zhixiang Chen
26,https://openreview.net/forum?id=tYlxdMGBW8,Guiding a diffusion model with itself using sliding windows,"Guidance is a widely used technique for diffusion models to enhance sample quality. Technically, guidance is realised by using an auxiliary model that generalises more broadly than the primary model. Using a 2D toy example, we first show that it is highly beneficial when the auxiliary model exhibits similar but stronger generalisation errors than the primary model. Based on this insight, we introduce masked sliding window guidance (M-SWG), a novel, training-free method. M-SWG upweights long-range spatial dependencies by guiding the primary model with itself by selectively restricting its receptive field. M-SWG requires neither access to model weights from previous iterations, additional training, nor class conditioning. M-SWG achieves a superior Inception score (IS) compared to previous state-of-the-art training-free approaches, without introducing sample oversaturation. In conjunction with existing guidance methods, M-SWG reaches state-of-the-art Frechet DINOv2 distance on ImageNet using EDM2-XXL and DiT-XL. The code will be released.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Accept (Oral),Accept,Zhixiang Chen
28,https://openreview.net/forum?id=RKRZTfNiBU,Gen4Gen: Generative Data Pipeline for Generative Multi-Concept Composition,"In this paper, we identify two major gaps in personalizing text-to-image diffusion models, i.e., placing personalized concepts into generated image: 1) Creating a high-quality multi-concept personalized dataset with detailed and aligned text descriptions is challenging. 2) There lacks  comprehensive metrics to evaluate multiple personalized concepts in an image. To overcome these challenges, we propose Gen4Gen, a novel generative data pipeline for creating a benchmark dataset (MyCanvas) that combines personalized concepts into complex compositions aligning with detailed text descriptions, aiming to benchmark and improve multi-concept personalization. In addition, we introduce comprehensive metrics (CP-CLIP / TI-CLIP) for evaluating the performance of multi-concept personalization models more effectively. Finally, we provide a simple yet effective baseline built on top of several personalization methods with empirical prompting strategies for future researchers to evaluate on MyCanvas benchmark. By improving data quality, we can significantly increase the multi-concept image generation quality without changing the model architecture or training algorithms, and we show our work can be simply plug in to personalization approaches. We suggest that leveraging strong foundation models for dataset generation could benefit various computer vision tasks. The code and benchmark dataset will be publicly released.",7,3,~Runpei_Dong1|~Sayan_Kumar_Chaki1|~Haonan_Wang6|~Mushui_Liu1,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Jun Liu
29,https://openreview.net/forum?id=yzkXpORheb,SPARTAN: Spatiotemporal Pose-Aware Retrieval for Text-guided Autonomous Navigation,"Generative AI—particularly video diffusion models—offers a scalable alternative to traditional data collection for autonomous navigation. However, current models are not optimized for navigation-specific tasks, often resulting in inaccuracies in physics modeling and scene dynamics. We present SPARTAN (Spatiotemporal Pose-Aware Retrieval for Text-guided Autonomous Navigation), an open-source framework that delivers significant advances to video diffusion components. At its core, SPARTAN features a novel spatiotemporal encoder that converts per-frame camera pose data into continuous spatiotemporal feature embeddings, enhancing representation and modeling efficiency. We also propose a camera pose-conditioned training pipeline and loss function that tightly integrate spatiotemporal features with text annotations to support more accurate retrieval and generation. In addition, we present DrivingScenePTX, a comprehensive driving video dataset that includes both frame-wise camera poses and rich textual scene descriptions. We benchmark SPARTAN against state-of-the-art contrastive language-image pretraining (CLIP) models using standard retrieval tasks, and introduce a novel evaluation method inspired by visual simultaneous localization and mapping (vSLAM) to assess performance in cross-domain trajectory retrieval. Our results demonstrate SPARTAN’s superior ability to retrieve driving videos with high spatial and temporal accuracy, offering a critical step forward in adapting generative AI for autonomous navigation.",5,3,~Zakaria_rguibi1|~Himangi_Mittal1,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Accept (Poster),Accept,Zhixiang Chen
37,https://openreview.net/forum?id=790UTKs9hX,Cross-Modal Scene Semantic Alignment for Image Complexity Assessment,"Image complexity assessment (ICA) is a challenging task in perceptual evaluation due to the subjective nature of human perception and the inherent semantic diversity in real-world images. Existing ICA methods predominantly rely on hand-crafted or shallow convolutional neural network-based features of a single visual modality, which are insufficient to fully capture the perceived representations closely related to image complexity. Recently, cross-modal scene semantic information has been shown to play a crucial role in various computer vision tasks, particularly those involving perceptual understanding. However, the exploration of cross-modal scene semantic information in the context of ICA remains unaddressed. Therefore, in this paper, we propose a novel ICA method called Cross-Modal Scene Semantic Alignment (CM-SSA), which leverages scene semantic alignment from a cross-modal perspective to enhance ICA performance, enabling complexity predictions to be more consistent with subjective human perception. Specifically, the proposed CM-SSA consists of a complexity regression branch and a scene semantic alignment branch. The complexity regression branch estimates image complexity levels under the guidance of the scene semantic alignment branch, while the scene semantic alignment branch is used to align images with corresponding text prompts that convey rich scene semantic information by pair-wise learning. Extensive experiments on several ICA datasets demonstrate that the proposed CM-SSA significantly outperforms state-of-the-art approaches. Codes will be publicly available.",5,4,~Sven_Wachsmuth2,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Accept (Poster),Accept,Charith Abhayaratne
38,https://openreview.net/forum?id=Te5Wg1jkpl,GC-Font: Few-Shot Font Generation via Global Contextual Feature Modelling,"Few-shot font generation aims to create new fonts with a limited number of glyph references. It can be used to greatly reduce the labour cost of manual font design. However, due to the variety and complexity of font styles, the results generated by existing methods often suffer from visible defects, such as stroke errors, blurriness or distorted shapes. To address these issues, we propose GC-Font, a novel framework which integrates a Global Contextual Feature Modelling (GCFM) module. Specifically, this module is inserted between the content encoder and decoder, where it fuses convolution and attention mechanisms to process intermediate feature maps and injects enhanced global contextual features into the decoder. Moreover, we apply adaptive convolutions to the low-level feature maps from the content encoder to strengthen contextual correlations. In addition, a skeleton consistency loss and an edge consistency loss are also designed to improve geometric alignment. Extensive experiments reveal that our GC-Font outperforms the state-of-the-art methods in both qualitative and quantitative evaluations, demonstrating its effectiveness on diverse font styles. Our source code will be released soon.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Accept (Poster),Accept,Zhixiang Chen
39,https://openreview.net/forum?id=NV4XKQW2Tv,DocAttentionRect: Attention-Guided Document Image Rectification,"In recent years, document image rectification has seen substantial advancements. Nonetheless, current leading algorithms are primarily effective for images with clearly defined document boundaries and some degree of distortion. These algorithms often struggle when presented with images containing text in only a specific area or with incomplete boundaries, leading to subpar rectification results. This limitation is particularly problematic in situations where only sections of a document need processing. Although there are methods that attempt to address these issues, they frequently encounter difficulties when dealing with a combination of intricate distortions and diverse document layouts. To address this gap, our paper introduces a novel approach for document image rectification that specifically targets images with partial or missing document boundaries. Recently, attention-based neural networks have proven highly effective in enhancing the accuracy and efficiency of document rectification. By utilizing attention mechanisms, these networks can focus on relevant parts of an image, thereby improving the rectification outcomes. Our paper presents 'DocAttentionRect', an innovative attention-based rectification network that incorporates attention modules alongside parallel convolution layers to address complex document image rectification challenges. Our proposed architecture captures extensive dependencies and key textual and structural features throughout the rectification process. DocAttentionRect is capable of handling all document types, regardless of the visibility of their boundaries. Extensive experiments conducted on the DocUNet, DIR300, and UVDoc datasets demonstrate the superior performance and effectiveness of our proposed architecture.",6,5,zhixiang.chen@sheffield.ac.uk,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Charith Abhayaratne
